Percentage Change in Demand that Alters Exports (dimensionless) - From type (below)  / To type (right),electricity (not used in this variable),hard coal,natural gas,nuclear,hydro (is not a fuel),wind (is not a fuel),solar (is not a fuel),biomass,petroleum gasoline,petroleum diesel,biofuel gasoline,biofuel diesel,jet fuel or kerosene,heat (not used in this variable),geothermal (is not a fuel),lignite,crude oil,heavy fuel oil,LPG propane or butane,municipal solid waste,hydrogen
electricity (not used in this variable),0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
hard coal,0,0.6765479546,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
natural gas,0,0.0,0.4478805735,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
nuclear,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
hydro (is not a fuel),0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
wind (is not a fuel),0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
solar (is not a fuel),0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
biomass,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
petroleum gasoline,0,0.0,0.0,0,0,0,0,0,0.0001217829,0.0,0,0,0.0,0,0,0.0,0.9998782171,0.0,0,0,0
petroleum diesel,0,0.0,0.0,0,0,0,0,0,0.0,8.0437e-06,0,0,0.0,0,0,0.0,0.9999919563,0.0,0,0,0
biofuel gasoline,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
biofuel diesel,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
jet fuel or kerosene,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0005127679,0,0,0.0,0.9994872321,0.0,0,0,0
heat (not used in this variable),0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
geothermal (is not a fuel),0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
lignite,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.9049024376,0.0,0.0,0,0,0
crude oil,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,0.0,0,0,0
heavy fuel oil,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.885307505,0.114692495,0,0,0
LPG propane or butane,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,0.0,0,0,0
municipal solid waste,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
hydrogen,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0
